2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
62.38, 113.90, 356.77, -1.00, -1.00
62.15, 114.68, 357.17, -1.00, -1.00
62.03, 115.32, 357.80, -1.00, -1.00
62.00, 115.78, 358.57, -1.00, -1.00
62.00, 116.19, 359.38, -1.00, -1.00
61.98, 116.57, 360.19, -1.00, -1.00
61.89, 116.90, 361.02, -1.00, -1.00
61.70, 117.13, 361.87, -1.00, -1.00
61.46, 117.32, 362.71, -1.00, -1.00
61.26, 117.54, 363.56, -1.00, -1.00
61.12, 117.80, 364.42, -1.00, -1.00
61.04, 118.07, 365.28, -1.00, -1.00
61.01, 118.31, 366.14, -1.00, -1.00
61.00, 118.53, 367.01, -1.00, -1.00
61.00, 118.70, 367.90, -1.00, -1.00
61.00, 118.83, 368.79, -1.00, -1.00
61.00, 118.92, 369.69, -1.00, -1.00
61.00, 118.97, 370.58, -1.00, -1.00
61.00, 119.00, 371.49, -1.00, -1.00
61.00, 119.03, 372.39, -1.00, -1.00
61.00, 119.08, 373.28, -1.00, -1.00
61.00, 119.18, 374.18, -1.00, -1.00
61.00, 119.39, 375.06, -1.00, -1.00
61.00, 119.81, 375.86, -1.00, -1.00
61.00, 120.38, 376.54, -1.00, -1.00
61.00, 120.98, 377.22, -1.00, -1.00
61.00, 121.46, 377.98, -1.00, -1.00
61.00, 121.89, 378.78, -1.00, -1.00
61.00, 122.30, 379.58, -1.00, -1.00
61.00, 122.81, 380.32, -1.00, -1.00
61.00, 123.54, 380.87, -1.00, -1.00
61.00, 124.38, 381.18, -1.00, -1.00
61.00, 125.22, 381.51, -1.00, -1.00
61.00, 125.92, 382.09, -1.00, -1.00
61.00, 126.38, 382.85, -1.00, -1.00
61.00, 126.72, 383.69, -1.00, -1.00
61.00, 127.00, 384.54, -1.00, -1.00
61.00, 127.26, 385.41, -1.00, -1.00
61.00, 127.51, 386.27, -1.00, -1.00
61.00, 127.77, 387.13, -1.00, -1.00
